t_in_k,5,10,20,30,40,50,100
0,0.067,0.135,0.269,0.404,0.538,0.671,1.337
5,0.056,0.113,0.226,0.338,0.451,0.564,1.123
10,0.048,0.096,0.191,0.287,0.382,0.477,0.95
15,0.041,0.082,0.164,0.245,0.327,0.409,0.814
20,0.035,0.071,0.141,0.212,0.283,0.353,0.704
25,0.031,0.062,0.123,0.185,0.247,0.308,0.614
30,0.027,0.054,0.109,0.163,0.218,0.271,0.541
35,0.024,0.048,0.097,0.145,0.193,0.242,0.481
40,0.022,0.043,0.087,0.13,0.173,0.216,0.431
45,0.02,0.039,0.078,0.117,0.156,0.196,0.389
50,0.018,0.036,0.071,0.107,0.142,0.178,0.354
55,0.016,0.033,0.065,0.098,0.131,0.163,0.325
60,0.015,0.03,0.06,0.09,0.121,0.15,0.3
65,0.014,0.028,0.056,0.084,0.112,0.14,0.279
70,0.013,0.026,0.052,0.079,0.105,0.131,0.261
75,0.012,0.025,0.049,0.074,0.099,0.123,0.245
80,0.012,0.023,0.047,0.07,0.093,0.116,0.232
85,0.011,0.022,0.044,0.067,0.089,0.111,0.221
90,0.011,0.021,0.042,0.064,0.085,0.106,0.211
95,0.01,0.02,0.041,0.061,0.082,0.102,0.203
100,0.01,0.02,0.039,0.059,0.079,0.098,0.196
